epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,573.567,1.04776,0.70202,1.07067,0.85256,0.87049,0.85348,0.59242,1.21282,0.56593,1.20894,0.000175367,0.000175367,0.000175367
57,583.975,1.02346,0.72452,1.05349,0.86698,0.8675,0.85169,0.58059,1.23112,0.62028,1.21794,0.000171556,0.000171556,0.000171556
58,594.544,1.01482,0.69934,1.0727,0.8761,0.86668,0.85829,0.59234,1.22038,0.61441,1.21598,0.000167745,0.000167745,0.000167745
59,605.418,1.09229,0.7094,1.10151,0.89302,0.81707,0.86127,0.59009,1.22091,0.61228,1.21269,0.000163933,0.000163933,0.000163933
60,615.895,1.05461,0.7325,1.07821,0.88321,0.85809,0.85133,0.56915,1.23436,0.58378,1.22146,0.000160122,0.000160122,0.000160122
61,627.005,1.0307,0.69764,1.08164,0.86712,0.86696,0.85241,0.57654,1.24329,0.61843,1.23919,0.00015631,0.00015631,0.00015631
62,638.132,1.05174,0.66864,1.06823,0.84376,0.85251,0.86749,0.58988,1.26044,0.6353,1.25753,0.000152498,0.000152498,0.000152498
63,649.465,1.05401,0.66341,1.07167,0.85473,0.85709,0.8703,0.59697,1.22031,0.56831,1.20873,0.000148687,0.000148687,0.000148687
64,660.635,1.02222,0.65601,1.07039,0.85908,0.85121,0.87022,0.59936,1.24643,0.58255,1.20574,0.000144875,0.000144875,0.000144875
65,672.333,1.04936,0.6725,1.07078,0.86042,0.86886,0.9745,0.68796,1.23644,0.55938,1.21539,0.000141064,0.000141064,0.000141064
66,683.444,1.0202,0.68155,1.05963,0.86226,0.84184,0.88988,0.60388,1.22609,0.57414,1.20745,0.000137252,0.000137252,0.000137252
67,694.584,0.9997,0.64113,1.08675,0.88374,0.82053,0.8767,0.59776,1.218,0.56843,1.20237,0.000133441,0.000133441,0.000133441
68,706.398,0.99313,0.72971,1.06345,0.89251,0.81357,0.86219,0.58809,1.20175,0.5567,1.20024,0.000129629,0.000129629,0.000129629
69,716.863,1.01985,0.72255,1.07025,0.86105,0.85771,0.86469,0.58458,1.23973,0.56915,1.23925,0.000125818,0.000125818,0.000125818
70,727.199,1.02459,0.68492,1.07954,0.84625,0.85536,0.85889,0.59233,1.2056,0.5792,1.20306,0.000122007,0.000122007,0.000122007
71,737.628,0.98297,0.6228,1.058,0.85438,0.86785,0.97135,0.67817,1.19796,0.57083,1.19196,0.000118195,0.000118195,0.000118195
72,748.29,0.9689,0.61201,1.05132,0.89964,0.81174,0.97216,0.65773,1.22254,0.58858,1.21741,0.000114384,0.000114384,0.000114384
73,759.04,0.95355,0.61109,1.04406,0.88601,0.83907,0.91322,0.62575,1.22445,0.57203,1.22889,0.000110572,0.000110572,0.000110572
74,769.616,1.0094,0.6555,1.06701,0.88934,0.82519,0.97751,0.67972,1.24291,0.55884,1.22815,0.000106761,0.000106761,0.000106761
75,780.413,0.98053,0.63618,1.0455,0.8751,0.80785,0.91369,0.63929,1.19608,0.56134,1.21026,0.000102949,0.000102949,0.000102949
76,791.081,0.97386,0.64039,1.05988,0.88264,0.80392,0.86661,0.59663,1.21415,0.55375,1.21791,9.91375e-05,9.91375e-05,9.91375e-05
77,801.726,0.97227,0.59885,1.05675,0.87997,0.79925,0.86182,0.59258,1.22088,0.54154,1.21219,9.5326e-05,9.5326e-05,9.5326e-05
78,812.171,1.00143,0.62082,1.07161,0.88022,0.85083,0.97754,0.67192,1.2039,0.54589,1.20167,9.15145e-05,9.15145e-05,9.15145e-05
79,822.309,0.9661,0.63605,1.04954,0.88724,0.81498,0.90636,0.61788,1.21779,0.56197,1.20392,8.7703e-05,8.7703e-05,8.7703e-05
80,832.906,0.93126,0.60971,1.04449,0.88205,0.82411,0.883,0.59497,1.2266,0.56457,1.21307,8.38915e-05,8.38915e-05,8.38915e-05
81,843.438,0.9674,0.61602,1.05493,0.88691,0.83172,0.86845,0.57415,1.23884,0.56266,1.23842,8.008e-05,8.008e-05,8.008e-05
82,853.758,0.93276,0.60002,1.03361,0.87341,0.84512,0.87419,0.59069,1.22313,0.55717,1.21397,7.62685e-05,7.62685e-05,7.62685e-05
83,863.906,0.9237,0.57452,1.03853,0.86283,0.86105,0.97383,0.67329,1.21373,0.57321,1.21559,7.2457e-05,7.2457e-05,7.2457e-05
84,873.95,0.94238,0.60298,1.03566,0.85668,0.85949,0.86664,0.58387,1.22683,0.5798,1.21919,6.86455e-05,6.86455e-05,6.86455e-05
85,884.062,0.95077,0.59902,1.04528,0.86289,0.84073,0.86383,0.58116,1.2076,0.57159,1.22117,6.4834e-05,6.4834e-05,6.4834e-05
86,894.124,0.94552,0.59195,1.02997,0.87194,0.82456,0.86254,0.58649,1.19624,0.58153,1.20957,6.10225e-05,6.10225e-05,6.10225e-05
